source_id,university_id,title,publisher,source_type,url,archived_url,published_date,date_precision,accessed_date,document_status,confidence,workflow_status,created_by,verified_by,notes
src-nacional-001,,Sistema de Acceso a la Educación Superior · buscador de oferta académica 2026,Ministerio de Educación de Chile,base-oficial,https://acceso.mineduc.cl,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,80,FUENTE_ABIERTA,intento-3a,,Ruta de contraste para construir el universo nacional. No es evidencia sobre ninguna institución.
src-nacional-002,,INDICES · Bases de datos de oferta académica de pregrado 2026,Consejo Nacional de Educación,base-oficial,https://cned.cl/institucional/bases-de-datos,,2026-01-08,dia,2026-09-01,inaccesible,80,PROPUESTO,intento-3a,,Devuelve 403 a petición automatizada; el sitio es consultable desde navegador. Corte declarado de la base: 08-01-2026.
src-puc-chile-001,puc-chile,"Programa de Derecho, Ciencia y Tecnología UC",Facultad de Derecho UC,pagina-institucional,https://derechocienciaytecnologia.uc.cl,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,70,FUENTE_ABIERTA,intento-2a,,Estructura matriz; mantiene diplomado y curso en Derecho e IA junto a otras líneas tecnológicas.
src-puc-chile-002,puc-chile,"Graduación de la generación 2024 de los diplomados del Programa de Derecho, Ciencia y Tecnología UC","Programa de Derecho, Ciencia y Tecnología UC",noticia-institucional,https://derechocienciaytecnologia.uc.cl/2025/01/08/graduacion-de-la-generacion-2024-de-los-diplomados-del-programa-de-derecho-ciencia-y-tecnologia-uc,,2025-01-08,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2a,,"Acredita ejecución efectiva de la cohorte 2024, no sólo su oferta."
src-puc-chile-003,puc-chile,"Graduación de la generación 2025 de los diplomados del Programa de Derecho, Ciencia y Tecnología UC","Programa de Derecho, Ciencia y Tecnología UC",noticia-institucional,https://derechocienciaytecnologia.uc.cl/2026/01/16/graduacion-de-la-generacion-2025-de-los-diplomados-del-programa-de-derecho-ciencia-y-tecnologia-uc,,2026-01-16,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2a; intento-3b,,Junto con src-puc-chile-002 forma serie temporal de dos cohortes.
src-puc-chile-004,puc-chile,Derecho UC formaliza la creación del primer Departamento de Derecho y Tecnología en Chile,Facultad de Derecho UC,noticia-institucional,https://derecho.uc.cl/derecho-uc-formaliza-la-creacion-del-primer-departamento-de-derecho-y-tecnologia-en-chile,,2025-12-31,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2a; intento-3a; intento-3b,,Anuncio de creación. El acto formal —resolución u organigrama constitutivo— no se ha localizado (L-6).
src-puc-chile-005,puc-chile,Estructura orgánica · Derecho UC Transparente,Facultad de Derecho UC,pagina-institucional,https://derecho.uc.cl/facultad/derecho-uc-transparente/estructura-organica,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,70,FUENTE_ABIERTA,intento-3a,,Lista el Departamento de Derecho y Tecnología como unidad formal. Es el respaldo orgánico de src-puc-chile-004.
src-puc-chile-006,puc-chile,"Derecho UC inaugura año académico 2026 con foco en excelencia, innovación y proyección internacional",Facultad de Derecho UC,noticia-institucional,https://derecho.uc.cl/derecho-uc-inaugura-ano-academico-2026-con-foco-en-excelencia-innovacion-y-proyeccion-internacional,,2026-05-14,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2a; intento-3a,,"Declara la oficialización en el formulario de condiciones y evaluaciones de la opción docente de integrar IA. Prueba el mecanismo, no su adopción por curso."
src-puc-chile-007,puc-chile,Expertos extranjeros y académicos de Derecho UC analizaron la ética en la inteligencia artificial,Facultad de Derecho UC,noticia-institucional,https://derecho.uc.cl/expertos-extranjeros-y-academicos-de-derecho-uc-analizaron-la-etica-en-la-inteligencia-artificial,,2026-04-10,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2b,,Identifica a Raúl Madrid como director del Departamento de Derecho y Tecnología.
src-puc-chile-008,puc-chile,Facultad de Derecho UC establece guía ética para uso de inteligencia artificial generativa,Facultad de Derecho UC,politica,https://derecho.uc.cl/facultad-de-derecho-uc-establece-guia-etica-para-uso-de-inteligencia-artificial-generativa,,2026-08-21,dia,2026-09-01,vigente,85,FUENTE_ABIERTA,intento-2a; intento-2b; intento-3a; intento-3b,,"Gobernanza específica de Facultad, no universitaria. Localizada por dos rondas independientes."
src-puc-chile-009,puc-chile,"Matías Aránguiz asume como nuevo director del Programa de Derecho, Ciencia y Tecnología",Facultad de Derecho UC,noticia-institucional,https://derecho.uc.cl/matias-aranguiz-asume-como-nuevo-director-del-programa-de-derecho-ciencia-y-tecnologia,,2026-01-13,dia,2026-09-01,vigente,50,PROPUESTO,intento-3a,,El documento fuente declara que la apertura del original sufrió timeout: no se abrió.
src-puc-chile-010,puc-chile,"Seminario analiza el impacto jurídico de la inteligencia artificial en Chile, México y EE. UU.","Programa de Derecho, Ciencia y Tecnología UC",noticia-institucional,https://derechocienciaytecnologia.uc.cl/2025/04/03/seminario-analiza-el-impacto-juridico-de-la-inteligencia-artificial-en-chile-mexico-y-ee-uu,,2025-04-03,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2a,,"Vinculación con el medio, específica en IA."
src-puc-chile-011,puc-chile,Diplomado en Derecho e Inteligencia Artificial · Educación Continua UC,Educación Continua UC,programa-postgrado,https://educacioncontinua.uc.cl/programas/diplomado-en-derecho-e-inteligencia-artificial,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,75,FUENTE_ABIERTA,intento-3a,,"Cohorte en ejecución entre el 04-08-2026 y el 10-12-2026, 180 horas, Facultad de Derecho como unidad responsable."
src-puc-chile-012,puc-chile,AyudantIA UC,Pontificia Universidad Católica de Chile,pagina-institucional,https://docencia.ia.uc.cl/ayudantia,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,70,FUENTE_ABIERTA,intento-2a,,"Infraestructura central de la universidad. La fuente no identifica a la Facultad de Derecho ni cursos jurídicos: se atribuye a la universidad, no a la Facultad."
src-uchile-001,uchile,"Historia · Centro de Estudios en Derecho, Tecnología y Sociedad (CE3)","Facultad de Derecho, Universidad de Chile",pagina-institucional,https://derecho.uchile.cl/centro-estudios-derecho-tecnologia-sociedad/quienes-somos/historia,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,70,FUENTE_ABIERTA,intento-2a,,"Genealogía CCIJ → CIJ → CEDI → CE3, 1988–2025. Estructura de derecho y tecnología; la especificidad en IA se evalúa aparte."
src-uchile-002,uchile,Diploma en Derecho e Inteligencia Artificial · edición 2022,"Postgrados Derecho, Universidad de Chile",programa-postgrado,https://postgrados.derecho.uchile.cl/diploma-en-derecho-e-inteligencia-artificial,,2022,anio,2026-09-01,historico,75,FUENTE_ABIERTA,intento-2a,,No es duplicado de src-uchile-003: la URL difiere en una partícula y corresponde a la edición 2022. Juntas prueban continuidad.
src-uchile-003,uchile,Diploma en Derecho e Inteligencia Artificial · segundo semestre de 2026,"Postgrados Derecho, Universidad de Chile",programa-postgrado,https://postgrados.derecho.uchile.cl/diploma-derecho-e-inteligencia-artificial,,2026-08-01,dia,2026-09-01,vigente,75,FUENTE_ABIERTA,intento-2a; intento-2b; intento-3a,,Sustituye la dependencia en las versiones 2022 y 2023 como única prueba de continuidad.
src-uchile-004,uchile,¿De quién es la responsabilidad civil cuando falla la IA?,"Facultad de Derecho, Universidad de Chile",noticia-institucional,https://derecho.uchile.cl/noticias/225314/de-quien-es-la-responsabilidad-civil-cuando-falla-la-ia,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2a,,Proyecto de internacionalización adjudicado al Departamento de Derecho Privado; monto no localizado.
src-uchile-005,uchile,Tesis en Inteligencia Artificial · repositorio CE3,"Facultad de Derecho, Universidad de Chile",repositorio,https://derecho.uchile.cl/centro-estudios-derecho-tecnologia-sociedad/publicaciones/tesis/tesis-en-inteligencia-artificial,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,70,FUENTE_ABIERTA,intento-2a,,"Lista tesis sobre IA judicial, propiedad intelectual y transparencia algorítmica entre 2008 y 2025."
src-uchile-006,uchile,Publicaciones · Tesis del CE3,"Facultad de Derecho, Universidad de Chile",repositorio,https://derecho.uchile.cl/centro-estudios-derecho-tecnologia-sociedad/publicaciones/tesis,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,70,FUENTE_ABIERTA,intento-3a,,Índice general del repositorio; posee categoría específica de IA.
src-uchile-007,uchile,CE3 consolida liderazgo en el país y en Latinoamérica,"Facultad de Derecho, Universidad de Chile",resultado-institucional,https://derecho.uchile.cl/noticias/236453/ce3-consolida-liderazgo-en-el-pais-y-en-latinoamerica,,2026-01-08,dia,2026-09-01,vigente,60,FUENTE_ABIERTA,intento-2a; intento-3a,,Publicada el 08-01-2026 y probatoria de actividad de 2025: publication_date y fact_period no coinciden. Los juicios de «liderazgo» son autoevaluación institucional.
src-uchile-008,uchile,Congreso internacional aborda desafíos de la IA en el derecho privado,"Facultad de Derecho, Universidad de Chile",noticia-institucional,https://derecho.uchile.cl/noticias/228982/congreso-internacional-aborda-desafios-de-la-ia-en-el-derecho-privado,,FECHA_NO_DECLARADA,FECHA_NO_DECLARADA,2026-09-01,vigente,50,PROPUESTO,intento-2a; intento-3a,,CONFLICTO DE FECHA: intento-2a la data el 09-06-2025 y intento-3a el 27-05-2025. Se deja sin fecha hasta abrir el original.
src-uchile-009,uchile,Workshop IA y Derecho Privado: casos prácticos,"Facultad de Derecho, Universidad de Chile",noticia-institucional,https://derecho.uchile.cl/agenda/231464/workshop-ia-y-derecho-privado-casos-practicos,,2025-08-29,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2a,,Corrobora continuidad del proyecto de responsabilidad civil e IA.
src-uchile-010,uchile,Consideraciones para una excepción de derechos de autor en la formación de sistemas de IA,"Facultad de Derecho, Universidad de Chile",noticia-institucional,https://derecho.uchile.cl/agenda/241228/consideraciones-para-una-excepcion-de-derechos-de-autor-en-la,,2026-06-16,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-2b; intento-3b,,Actividad de extensión e investigación; por sí sola no eleva institucionalización.
src-uchile-011,uchile,Profesor Alberto Cerda asume como director del CE3,"Facultad de Derecho, Universidad de Chile",noticia-institucional,https://derecho.uchile.cl/noticias/224204/profesor-alberto-cerda-asume-como-director-del-ce3,,2025-01-03,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-3a,,Nombramiento confirmado por el Consejo de Facultad.
src-uchile-012,uchile,Seminario Inteligencia Artificial y acceso a la justicia,"Facultad de Derecho, Universidad de Chile",noticia-institucional,https://derecho.uchile.cl/agenda/227755/seminario-inteligencia-artificial--acceso-a-la-justicia,,2025-05-14,dia,2026-09-01,vigente,50,FUENTE_ABIERTA,intento-3a,,"Actividad de dos jornadas, 14 y 15 de mayo de 2025."
