university_id,in_pilot,routes_completed,routes_total,coverage_percent,sources,evidence,initiatives,dimensions_covered,dimensions_total,routes_missing,substantively_verified_sources,notes
puc-chile,si,9,13,69,12,12,7,4,8,fuentes-externas-contraste; malla-curricular; proyectos-fondos; repositorios-publicaciones,8,Del piloto de profundidad: se la observa desde información privilegiada.
uchile,si,11,13,85,16,16,8,5,8,fuentes-externas-contraste; malla-curricular,5,Del piloto de profundidad: se la observa desde información privilegiada.
udp,no,4,13,31,3,4,3,3,8,fuentes-externas-contraste; herramientas-licencias-convenios; integridad-evaluacion; malla-curricular; politicas-ia; postgrado-formacion-continua; programas-syllabus; proyectos-fondos; repositorios-publicaciones,2,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
uandes,no,5,13,38,5,5,4,3,8,centros-laboratorios; fuentes-externas-contraste; herramientas-licencias-convenios; integridad-evaluacion; malla-curricular; politicas-ia; repositorios-publicaciones; sitio-facultad,1,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
uai,no,4,13,31,3,3,3,3,8,centros-laboratorios; fuentes-externas-contraste; integridad-evaluacion; malla-curricular; politicas-ia; postgrado-formacion-continua; programas-syllabus; repositorios-publicaciones; sitio-facultad,1,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
unab,no,5,13,38,4,4,4,4,8,centros-laboratorios; fuentes-externas-contraste; integridad-evaluacion; malla-curricular; politicas-ia; programas-syllabus; proyectos-fondos; repositorios-publicaciones,2,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
udd,no,3,13,23,4,4,4,3,8,centros-laboratorios; fuentes-externas-contraste; herramientas-licencias-convenios; integridad-evaluacion; politicas-ia; postgrado-formacion-continua; programas-syllabus; proyectos-fondos; repositorios-publicaciones; vinculacion-transferencia,1,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
uautonoma,no,2,13,15,3,3,3,2,8,centros-laboratorios; fuentes-externas-contraste; herramientas-licencias-convenios; integridad-evaluacion; politicas-ia; postgrado-formacion-continua; programas-syllabus; proyectos-fondos; repositorios-publicaciones; sitio-facultad; vinculacion-transferencia,0,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
ucentral,no,5,13,38,4,4,4,3,8,fuentes-externas-contraste; integridad-evaluacion; malla-curricular; politicas-ia; postgrado-formacion-continua; programas-syllabus; proyectos-fondos; vinculacion-transferencia,2,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
pucv,si,9,13,69,14,16,9,4,8,fuentes-externas-contraste; postgrado-formacion-continua; programas-syllabus; repositorios-publicaciones,12,Del piloto de profundidad: se la observa desde información privilegiada.
udec,no,4,13,31,4,4,4,2,8,centros-laboratorios; fuentes-externas-contraste; integridad-evaluacion; malla-curricular; politicas-ia; postgrado-formacion-continua; programas-syllabus; proyectos-fondos; repositorios-publicaciones,3,"Fuera del piloto: su cobertura es menor por diseño de la investigación, no por menor actividad."
