initiative_id,university_id,name,institutional_level,direction,primary_dimension,mechanism_type,start_date,end_date,current_status,temporal_change,audience,coverage,responsible_unit,products,outcomes,workflow_status,source_ids,notes
ini-pucv-001,pucv,"Programa Derecho, Inteligencia Artificial y Tecnología (DIAT)",CENTRO_PROGRAMA,AMBOS,gobernanza,UNIDAD,2020,,3,CONTINUA,Escuela de Derecho,No publicada,Escuela de Derecho PUCV,"Actividades, talleres y participación en proyectos",No publicados,PROPUESTO,src-pucv-002; src-pucv-003; src-pucv-010; src-pucv-006,"Oficializado en 2020 como Núcleo; en 2026 la unidad es Programa, no «Centro». Falta el acto formal de creación (L-6)."
ini-pucv-002,pucv,Legal Management Innovation Lab (LMIL),CENTRO_PROGRAMA,ADYACENTE,vinculacion,UNIDAD,2022,,3,CONTINUA,Estudiantes y profesionales,No publicada,LMIL · Dirección de Incubación y Negocios PUCV (2022) a Escuela de Derecho PUCV (2025),Diplomado LMP; actividades de innovación legal,No publicados,PROPUESTO,src-pucv-001; src-pucv-009; src-pucv-010,"Verificada 04-09-2026. La fuente de 2022 lo sitúa en la Dirección de Incubación y Negocios y no menciona IA; la de 2025 lo describe como laboratorio de la Escuela de Derecho. Traslado orgánico documentado, no error de registro. Innova Day, su certamen, acredita cinco versiones entre 2022 y 2026."
ini-pucv-003,pucv,Prompts Socráticos y chatbot en Filosofía del Derecho,EQUIPO,IA_PARA_DERECHO,pregrado,ASIGNATURA,2024,,1,DESCONOCIDA,Estudiantes de una asignatura,Una asignatura,Escuela de Derecho y DIAT,Chatbot de asignatura,No publicados,PROPUESTO,src-pucv-003,Experiencia docente acotada. Una sola fuente: no hay prueba pública de continuidad.
ini-pucv-004,pucv,ScribeClaroPUCV,EQUIPO,IA_PARA_DERECHO,pregrado,HERRAMIENTA,2025,,2,DESCONOCIDA,Estudiantes de Derecho,No publicada,"Programa de Desarrollo Docente, liderazgo de académica de Derecho",Herramienta web,No publicados,PROPUESTO,src-pucv-004,Herramienta creada inicialmente para estudiantes de Derecho.
ini-pucv-005,pucv,Taller de IA Generativa y Prompting Jurídico,CENTRO_PROGRAMA,AMBOS,vinculacion,PROGRAMA_FORMATIVO,2025,,2,CONTINUA,Estudiantes y titulados,Cerca de 90 participantes en la edición 2025,DIAT y LMIL,Tres jornadas en 2025,Recuento de participantes; ninguna medición de efecto,PROPUESTO,src-pucv-005; src-pucv-006; src-pucv-010,Financiado por fondos concursables de Vinculación con el Medio en 2025 y 2026. Contar asistentes no es evaluar.
ini-pucv-006,pucv,Decálogo institucional para el uso ético de la IA,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,gobernanza,NORMA,2026-01-09,,3,NUEVA,Comunidad universitaria,Universidad completa,Unidad de Integridad Académica y Vicerrectoría Académica,Decálogo publicado,No publicados,PROPUESTO,src-pucv-007,Lineamiento universitario con liderazgo de una profesora de Derecho. No es política de la Escuela de Derecho: la atribución es a la universidad.
ini-pucv-007,pucv,Habilitación institucional de Gemini,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,uso-institucional,HERRAMIENTA,2026-03,,2,NUEVA,Comunidad universitaria,Universidad completa,Pontificia Universidad Católica de Valparaíso,Acceso a la herramienta,Ninguna métrica de adopción publicada,PROPUESTO,src-pucv-013,Acceso disponible no es uso efectivo en Derecho.
ini-pucv-008,pucv,Workshop internacional sobre manejo de IA en el ámbito legal,FACULTAD_DERECHO,AMBOS,vinculacion,ACTIVIDAD,2026-06-18,2026-06-18,1,NUEVA,Alumni,No publicada,Facultad de Derecho PUCV,Workshop,No publicados,PROPUESTO,src-pucv-008,Actividad puntual con expositor internacional.
ini-pucv-009,pucv,Innova Day,FACULTAD_DERECHO,ADYACENTE,vinculacion,ACTIVIDAD,2025,,2,CONTINUA,Comunidad jurídica,No publicada,Facultad de Derecho PUCV,Jornada anual,No publicados,PROPUESTO,src-pucv-011,La actividad general es ADYACENTE. Sólo el panel sobre automatización e IA aporta evidencia específica: no se reclasifica el conjunto.
ini-puc-chile-001,puc-chile,"Programa de Derecho, Ciencia y Tecnología",CENTRO_PROGRAMA,ADYACENTE,gobernanza,UNIDAD,,,3,CONTINUA,Facultad y educación continua,No publicada,Facultad de Derecho UC,Diplomado y curso en Derecho e IA,No publicados,PROPUESTO,src-puc-chile-001; src-puc-chile-009,Estructura matriz con iniciativas de IA específicas. Fecha de inicio no determinada en las fuentes revisadas.
