university_id,official_name,cohort_id,cohort_version,unit_name,status,notes
puc-chile,Pontificia Universidad Católica de Chile,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
uchile,Universidad de Chile,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
udp,Universidad Diego Portales,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
uandes,Universidad de los Andes,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
uai,Universidad Adolfo Ibáñez,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
unab,Universidad Andrés Bello,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
udd,Universidad del Desarrollo,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
uautonoma,Universidad Autónoma de Chile,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
ucentral,Universidad Central de Chile,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
pucv,Pontificia Universidad Católica de Valparaíso,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
udec,Universidad de Concepción,COHORTE_IA_DERECHO_CHILE_11_V1,1.0.0,,PENDIENTE_VERIFICACION,
