claim_id,university_id,claim_text,classification,evidence_ids,counterevidence_ids,reasoning,limitations,confidence,last_verified,workflow_status,created_by,verified_by
clm-cohorte-001,,Ninguna de las 53 iniciativas registradas en las once instituciones alcanza evidencia pública de evaluación de efecto sobre el aprendizaje jurídico.,FACT,ev-puc-chile-001; ev-puc-chile-002; ev-puc-chile-003; ev-puc-chile-004; ev-puc-chile-005; ev-puc-chile-006; ev-puc-chile-007; ev-puc-chile-008; ev-puc-chile-009; ev-puc-chile-010; ev-puc-chile-011; ev-puc-chile-012; ev-pucv-001; ev-pucv-002; ev-pucv-003; ev-pucv-004; ev-pucv-005; ev-pucv-006; ev-pucv-007; ev-pucv-008; ev-pucv-009; ev-pucv-010; ev-pucv-011; ev-pucv-012; ev-pucv-013; ev-pucv-014; ev-pucv-015; ev-pucv-016; ev-uai-001; ev-uai-002; ev-uai-003; ev-uandes-001; ev-uandes-002; ev-uandes-003; ev-uandes-004; ev-uandes-005; ev-uautonoma-001; ev-uautonoma-002; ev-uautonoma-003; ev-ucentral-001; ev-ucentral-002; ev-ucentral-003; ev-ucentral-004; ev-uchile-001; ev-uchile-002; ev-uchile-003; ev-uchile-004; ev-uchile-005; ev-uchile-006; ev-uchile-007; ev-uchile-008; ev-uchile-009; ev-uchile-010; ev-uchile-011; ev-uchile-012; ev-uchile-013; ev-uchile-014; ev-uchile-015; ev-uchile-016; ev-udd-001; ev-udd-002; ev-udd-003; ev-udd-004; ev-udec-001; ev-udec-002; ev-udec-003; ev-udec-004; ev-udp-001; ev-udp-002; ev-udp-003; ev-udp-004; ev-unab-001; ev-unab-002; ev-unab-003; ev-unab-004,,"Las 53 iniciativas se clasificaron con la escalera del kit canónico (§11), cuyo nivel 4 exige productos o resultados públicamente revisables. Ninguna lo alcanza: el máximo del corpus es 3. Se localizaron métricas de cobertura —cerca del 80 % del profesorado de Derecho de la Autónoma, unos 90 participantes en el taller de la PUCV— y ninguna es una evaluación de efecto. Tres rondas independientes de investigación, con documentos distintos y fuentes que apenas se solapan, llegaron a la misma ausencia.","Es un hecho sobre el corpus, no sobre las instituciones: una evaluación no publicada no queda registrada. La afirmación dice que no hay evidencia pública de medición, no que nadie mida.",85,,PROPUESTO,fusion-ronda-3,
clm-cohorte-002,,Cuatro Facultades de Derecho formalizaron entre 2025 y 2026 una estructura dedicada a tecnología o inteligencia artificial.,FACT,ev-puc-chile-006; ev-puc-chile-007; ev-puc-chile-008; ev-pucv-001; ev-pucv-002; ev-pucv-003; ev-pucv-004; ev-ucentral-002; ev-udp-001; ev-udp-002,,"Departamento de Derecho y Tecnología en la UC, Dirección de Inteligencia Artificial y Derecho en la UDP, Programa de IA & LegalTech en la Universidad Central y Programa DIAT en la PUCV. Son señales distintas de una sucesión de seminarios: hay nombre, conducción y unidad.","Sólo la UC tiene respaldo orgánico publicado. De las otras tres falta el acto formal de creación —resolución, organigrama o documento constitutivo—, de modo que consta el nombre comunicacional y no la unidad administrativa (ISSUE-006).",70,,PROPUESTO,fusion-ronda-3,
clm-cohorte-003,,"Del corpus, una sola política sobre uso de IA fue dictada por una Facultad de Derecho; las demás son universitarias y sólo resultan aplicables a Derecho.",FACT,ev-puc-chile-009; ev-pucv-013; ev-uchile-015,,"La guía ética de Derecho UC la aprueba la propia Facultad con su Comité Directivo y su Consejo. El decálogo de la PUCV lo elabora la Unidad de Integridad Académica de la universidad, aunque lo lidere una profesora de Derecho, y los lineamientos de tesis de la Universidad de Chile son de la universidad. Quién dicta la regla importa tanto como la regla.","Una política universitaria aplicable a Derecho sí demuestra capacidad institucional disponible; lo que no demuestra es capacidad desarrollada por la Facultad. La distinción es de atribución, no de calidad de la política.",80,,PROPUESTO,fusion-ronda-3,
clm-cohorte-004,,El uso interno de IA dejó de ser una casilla vacía: cuatro instituciones documentan herramientas o formación desplegadas dentro de la enseñanza del Derecho.,SIGNAL,ev-uautonoma-001; ev-ucentral-001; ev-udec-003; ev-unab-001,,UNAB informa asistentes generativos en asignaturas nombradas de primer ciclo; la Universidad Central desarrolló Docente iLex dentro de la Facultad; la Autónoma capacitó a cerca del 80 % de sus docentes de Derecho en tres sedes; la UdeC realizó un taller propio para sus académicos.,"Tres de las cuatro fuentes son la institución describiéndose a sí misma, sin verificación externa ni métricas de uso. Capacitar no es adoptar y desplegar no es usar: cuántos docentes cambiaron efectivamente su curso no consta en ninguna.",60,,PROPUESTO,fusion-ronda-3,
clm-cohorte-005,,La formación continua es el único eje del corpus con serie temporal documentada.,FACT,ev-puc-chile-003; ev-puc-chile-004; ev-puc-chile-005; ev-uchile-006; ev-uchile-007,,"Los diplomados de la UC y de la Universidad de Chile acreditan ejecución en años sucesivos: dos graduaciones documentadas más una cohorte en curso en la UC, y ediciones de 2022 y 2026 en la Universidad de Chile. En el resto de los ejes hay fuentes fechadas, pero no repetición probada de la misma iniciativa.",Serie temporal no es evaluación: que un programa se repita no dice qué aprendieron sus egresados. Tampoco consta la matrícula real de ninguna cohorte.,80,,PROPUESTO,fusion-ronda-3,
clm-cohorte-006,,"No se localizó en ninguna de las once instituciones evidencia pública de una línea curricular obligatoria en IA con syllabus, semestre, créditos y matrícula.",PENDING,ev-uautonoma-003; ev-udd-001; ev-udp-002; ev-udp-003,,"Hay mallas y anuncios: la malla de la UDD declara una línea LegalTech e IA en una página de admisión 2027, la Dirección de la UDP anuncia innovación curricular, la página de Derecho de la PUCV declara competencia en TIC sin trayectoria explícita en IA, y el Minor de la Autónoma es la única trayectoria con una cohorte egresada. En ninguna aparece el documento que separa un taller optativo de una línea obligatoria.","Es ausencia de evidencia pública, no evidencia de ausencia: los syllabus pueden existir y no estar publicados. La afirmación alcanza a las once precisamente para no convertir en defecto de una universidad lo que es un límite del método (DEC-110).",75,,PROPUESTO,fusion-ronda-3,
clm-cohorte-007,,Nueve registros del corpus corresponden a capacidades de la universidad y no de la Facultad de Derecho.,FACT,ev-puc-chile-011; ev-pucv-013; ev-pucv-014; ev-uandes-003; ev-ucentral-004; ev-uchile-015; ev-uchile-016; ev-udec-004; ev-unab-003,,"AyudantIA y MIAsistentes, la habilitación de Gemini y el decálogo de la PUCV, los lineamientos de tesis y el curso institucional de la Universidad de Chile, IDEA UCEN, DOMus AI y [genIA]. En los nueve la fuente identifica una unidad que no es Derecho, o no identifica ninguna.","Contarlos como capacidad de Derecho es el modo más frecuente de inflar un mapa sin inventar una sola fuente. Excluirlos del todo sería el error simétrico: son capacidad institucional disponible, y como tal se registran.",85,,PROPUESTO,fusion-ronda-3,
clm-cohorte-008,,Cinco iniciativas del corpus prueban anuncio y no ejecución.,FACT,ev-uai-002; ev-uchile-013; ev-udd-001; ev-udp-003; ev-unab-003,,La malla de la UDD está orientada a Admisión 2027; la innovación curricular de la UDP se anuncia en la presentación de su Dirección; el convenio de la UAI con Legu está firmado y fechado sin cobertura ni productos públicos; el programa de visitas del CE3 es una convocatoria abierta al corte; MIAsistentes está en implementación progresiva. Existir no es funcionar.,Verificar ejecución es la ronda siguiente. Que hoy sea anuncio no permite anticipar que no se ejecute.,80,,PROPUESTO,fusion-ronda-3,
clm-metodo-001,,"La cobertura de investigación es 3,7 veces mayor en el piloto de tres que en las ocho restantes, de modo que ninguna comparación ni ranking nacional es publicable.",FACT,,,"Tras la ronda 3 el piloto —PUCV, PUC y Universidad de Chile— reúne 42 fuentes, 14 de media, y las ocho restantes 30, 3,8 de media. En rutas del protocolo la brecha es mayor todavía: 9,7 rutas recorridas de trece frente a 4,0. Esa diferencia mide esfuerzo de investigación, no actividad institucional. La Universidad Autónoma, con dos rutas recorridas, aporta la única cobertura docente cuantificada de todo el corpus: es la prueba de que evidencia localizada y madurez institucional no son la misma variable.","La cifra se calcula sobre el corpus disponible, que a su vez depende de qué publica cada institución. Una universidad que comunica poco quedará subrepresentada aunque se le apliquen las trece rutas.",90,,PROPUESTO,fusion-ronda-3,
clm-metodo-002,,Ninguna de las 74 fuentes del corpus proviene de contraste externo: todas son institucionales o bases oficiales.,FACT,,,"El registro clasifica las 74 fuentes por tipo. Setenta y dos son publicaciones de las propias universidades —noticias, páginas, políticas, repositorios, programas— y dos son bases oficiales del Ministerio de Educación y del Consejo Nacional de Educación. La ruta 13 del protocolo, fuentes externas de contraste, está sin recorrer en las once.",El corpus hereda íntegro el sesgo de autodescripción: mide lo que las instituciones cuentan de sí mismas. Es la limitación estructural más grande del informe y no se corrige agregando más fuentes del mismo tipo.,90,,PROPUESTO,fusion-ronda-3,
