evidence_id,source_id,initiative_id,university_id,direction,dimension,factual_statement,institutional_level,temporal_status,last_verified,workflow_status,created_by,verified_by,limitations
ev-pucv-001,src-pucv-002,ini-pucv-001,pucv,AMBOS,gobernanza,"La fuente oficial afirma que el Núcleo de Derecho, Inteligencia Artificial y Tecnología se oficializó en 2020, con objetivos regulatorios y de aplicación de IA a la docencia y la profesión.",CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a,Diego Hernán Ojeda Cifuentes,"En 2026 la unidad es Programa, no Centro. El presupuesto basal no está públicamente determinado."
ev-pucv-002,src-pucv-003,ini-pucv-001,pucv,AMBOS,gobernanza,"El Programa DIAT integra IA en Filosofía del Derecho mediante prompting y un chatbot de asignatura, con apoyo de un proyecto de innovación docente.",CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a; intento-3a,Diego Hernán Ojeda Cifuentes,Experiencia acotada a una asignatura. Fuente única: no hay prueba pública de continuidad.
ev-pucv-003,src-pucv-010,ini-pucv-001,pucv,AMBOS,gobernanza,El Laboratorio de Innovación Legal y el Programa de Derecho e IA se adjudican fondos internos en 2025.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,Junto con la adjudicación de 2026 documenta financiamiento competitivo en dos años consecutivos.
ev-pucv-004,src-pucv-006,ini-pucv-001,pucv,AMBOS,gobernanza,La Facultad y la Escuela de Derecho se adjudican dos proyectos de Vinculación con el Medio en 2026.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a; intento-2b; intento-3a; intento-3b,Diego Hernán Ojeda Cifuentes,"Financiamiento concursable, no basal. Los montos no están publicados."
ev-pucv-005,src-pucv-001,ini-pucv-002,pucv,ADYACENTE,vinculacion,"La Facultad crea el Legal Management Innovation Lab como laboratorio de transformación digital, innovación legal y gestión de proyectos, en colaboración con Thomson Reuters.",CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a,Diego Hernán Ojeda Cifuentes,"LMIL nace como innovación legal, no como IA específica: la clasificación es ADYACENTE."
ev-pucv-006,src-pucv-009,ini-pucv-002,pucv,ADYACENTE,vinculacion,El Legal Management Program y LMIL participan de un FDI financiado por el Ministerio de Educación.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a,Diego Hernán Ojeda Cifuentes,"Financiamiento de un componente adyacente, no de IA específica."
ev-pucv-007,src-pucv-010,ini-pucv-002,pucv,ADYACENTE,vinculacion,El Laboratorio de Innovación Legal y el Programa de Derecho e IA se adjudican fondos internos en 2025.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,Junto con la adjudicación de 2026 documenta financiamiento competitivo en dos años consecutivos.
ev-pucv-008,src-pucv-003,ini-pucv-003,pucv,IA_PARA_DERECHO,pregrado,"El Programa DIAT integra IA en Filosofía del Derecho mediante prompting y un chatbot de asignatura, con apoyo de un proyecto de innovación docente.",EQUIPO,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2a; intento-3a,Diego Hernán Ojeda Cifuentes,Experiencia acotada a una asignatura. Fuente única: no hay prueba pública de continuidad.
ev-pucv-009,src-pucv-004,ini-pucv-004,pucv,IA_PARA_DERECHO,pregrado,"ScribeClaroPUCV es una herramienta web creada inicialmente para estudiantes de Derecho, con apoyo del Programa de Desarrollo Docente.",EQUIPO,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2a,Diego Hernán Ojeda Cifuentes,No informa número de usuarios ni resultados de aprendizaje.
ev-pucv-010,src-pucv-005,ini-pucv-005,pucv,AMBOS,vinculacion,La edición 2025 del Taller de IA y Prompting Jurídico se ejecuta en tres jornadas con cerca de 90 participantes.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a; intento-3a; intento-3b,Diego Hernán Ojeda Cifuentes,Recuento de participantes. Cuántos asistieron no dice si algo cambió.
